molecule_id,seed,target,candidate,calibration,true,pred,abs_error,target_short,tanimoto_dissimilarity,reference_loo_p95,domain,distance_decile,normalised_abs_error,fingerprint,reference_domain
00000002,0,sterimol_B5,sum_pc_Bmax_all,huber,7.731732298654123,7.73659096924739,0.0048586705932676,B5,0.2142857142857143,0.6470588235294117,ID,2,0.16954013255012623,"Morgan radius 2, 2048 bits",all non-test molecules for the same outer seed
00000004,0,sterimol_B5,sum_pc_Bmax_all,huber,8.613301127766057,8.621485914910636,0.0081847871445788,B5,0.2682926829268293,0.6470588235294117,ID,3,0.28560279416951034,"Morgan radius 2, 2048 bits",all non-test molecules for the same outer seed
00000005,0,sterimol_B5,sum_pc_Bmax_all,huber,6.76238242927737,6.766235929897476,0.0038535006201056,B5,0.06896551724137934,0.6470588235294117,ID,1,0.13446538376566872,"Morgan radius 2, 2048 bits",all non-test molecules for the same outer seed
00000007,0,sterimol_B5,sum_pc_Bmax_all,huber,7.168965097495433,7.172961858016612,0.0039967605211792,B5,0.25,0.6470588235294117,ID,2,0.1394643443148344,"Morgan radius 2, 2048 bits",all non-test molecules for the same outer seed
00000008,0,sterimol_B5,sum_pc_Bmax_all,huber,4.894739111574918,4.89380464076508,0.0009344708098373,B5,0.5454545454545454,0.6470588235294117,ID,9,0.032607747720861766,"Morgan radius 2, 2048 bits",all non-test molecules for the same outer seed
00000010,0,sterimol_B5,sum_pc_Bmax_all,huber,7.026003105136374,7.02763581896854,0.0016327138321665,B5,0.4137931034482759,0.6470588235294117,ID,6,0.056972481300851,"Morgan radius 2, 2048 bits",all non-test molecules for the same outer seed
00000015,0,sterimol_B5,sum_pc_Bmax_all,huber,6.387293805407119,6.388886228814152,0.0015924234070325,B5,0.20833333333333337,0.6470588235294117,ID,2,0.055566573267656814,"Morgan radius 2, 2048 bits",all non-test molecules for the same outer seed
00000017,0,sterimol_B5,sum_pc_Bmax_all,huber,6.323592295050499,6.32541650513358,0.0018242100830807,B5,0.2941176470588235,0.6470588235294117,ID,3,0.06365461772883452,"Morgan radius 2, 2048 bits",all non-test molecules for the same outer seed
00000030,0,sterimol_B5,sum_pc_Bmax_all,huber,6.575061096168126,6.557796033999258,0.0172650621688674,B5,0.38095238095238093,0.6470588235294117,ID,5,0.6024530522097761,"Morgan radius 2, 2048 bits",all non-test molecules for the same outer seed
00000031,0,sterimol_B5,sum_pc_Bmax_all,huber,6.443026202972461,6.385254135773399,0.0577720671990622,B5,0.38095238095238093,0.6470588235294117,ID,5,2.015918499228117,"Morgan radius 2, 2048 bits",all non-test molecules for the same outer seed
00000035,0,sterimol_B5,sum_pc_Bmax_all,huber,8.06770329031491,7.991042975441105,0.0766603148738047,B5,0.18604651162790697,0.6470588235294117,ID,2,2.675011548024785,"Morgan radius 2, 2048 bits",all non-test molecules for the same outer seed
00000051,0,sterimol_B5,sum_pc_Bmax_all,huber,6.781242276189063,6.783916010997666,0.0026737348086038,B5,0.4,0.6470588235294117,ID,5,0.0932982273963367,"Morgan radius 2, 2048 bits",all non-test molecules for the same outer seed
